"url","price","stars"
"/dp/B07YPBQSCK/?coliid=IE3H1M40XNNGU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,265.13
","4.7"
"/dp/B07YPBX9Y7/?coliid=I14CQGBLL7X7IU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$3,098.05
","4.7"
"/dp/B084RPZD6T/?coliid=I2QHUVRWNRRHSP&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,172.00
","4.8"
"/dp/B07DG64YL9/?coliid=I2Z3RVB1CACS4G&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,360.23
","4.7"
"/dp/B08BRF9QB7/?coliid=I30490HEJZ3UV4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$11,848.99
","4.8"
"/dp/B07YTF96FZ/?coliid=INMJKIG9DVAS2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$44,299.00
","3.9"
"/dp/B07SZ9WXY5/?coliid=IIDWEVMSTD2AX&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$67,450.89
","4.4"
"/dp/B085B3GFRL/?coliid=I1V3TGT4EW6HFO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$41,899.00
","4.9"
"/dp/B089HJ9S33/?coliid=I3VO0BZH05UEX9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$44,975.26
","4.5"
"/dp/B08L7T3H2L/?coliid=I297V2UH8VSFKU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$29,999.00
","5.0"
"/dp/B08GFM5FML/?coliid=I16C9ZFSDGJEYU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$49,399.00
","4.7"
"/dp/B08N6Q71P7/?coliid=I2ARXGSF3HDTEZ&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.9"
