"url","stars","comments","price","reviews"
"/dp/B08J5WQTL5/?coliid=I2P8521PNPHUUM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","32","
$1,670.20","183"
"/dp/B07QFCB97K/?coliid=I3BY781GHOQPE6&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","32","
$1,527.00","183"
"/dp/B074ZQJW9R/?coliid=I2GUUN0VGCXEPR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","719","
$1,459.03","3,297"
"/dp/B07QNZC9V5/?coliid=I3TKHAH2FQY5JN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","246","
$1,579.00","2,438"
"/dp/B08F7PTF54/?coliid=I1XJEIT2H08PWR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","12","","497"
"/dp/B081PP4CB6/?coliid=I8Z7PGXKV1ZB9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","304","
$3,998.52","1,395"
"/dp/B07MH94CL5/?coliid=I1KQ18J11Q6SP5&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","20","","46"
"/dp/B0784MVB19/?coliid=I3HS8Z3X80VEGF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","213","","678"
"/dp/B07X9W8CBP/?coliid=I2QQPM0PVUUG2E&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","978","
$1,382.20","5,708"
"/dp/B08WFD42G5/?coliid=I2PVJ8E8MH1GDI&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.6","172","","841"
"/dp/B07RMC5BRL/?coliid=IHDYM0PH7FV4Y&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","1,488","
$1,236.64","7,300"
"/dp/0786966831/?coliid=I3MOWL0D1Z9ZNF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","0","
$794.51
","202"
"/dp/B088M9NCD2/?coliid=I3L5U97X8WI0QQ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","294","
$305.60
","567"
"/dp/B00Z05JMKO/?coliid=I2U5RCZLN09C7W&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","11,386","
$254.15
","35,714"
"/dp/B08DSTJWK5/?coliid=I3YNLL3FQM09D&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","34","
$1,199.00","65"
"/dp/B07ZDVXWPN/?coliid=I14MROZEUZ3ZSD&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.5","26","","63"
"/dp/B08D6YXW6T/?coliid=I3H5KD1SG6MJ1P&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","62","","256"
"/dp/B07ZDVYMST/?coliid=I1BYWKK5WHV3HA&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.5","67","","146"
"/dp/B07PRBRD5K/?coliid=I30E1NHBTZXVAC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.4","39","
$482.71
","115"
"/dp/B06XYKVPLS/?coliid=I64PHCIZ1S6I8&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","1,200","","3,300"
"/dp/B0117RGG8E/?coliid=I30WBOGCA65Y70&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","7,907","
$5,299.00","22,566"
"/dp/B003D66TXA/?coliid=I3KSV5LZBJLK7A&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","940","
$1,637.00","2,687"
"/dp/B00XAZCTNS/?coliid=I1CLEDE4LBEK8N&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","196","","466"
"/dp/B08ZLC661T/?coliid=I2EQZFUTP8LGEO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","23","
$25,390.00","41"
"/dp/B08BWQYNYQ/?coliid=I2MD55L055I30L&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.6","12","","42"
"/dp/B0845Y1FRN/?coliid=I29JZ3WQ86YEH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.1","0","
$12,795.66","103"
